"He aided the Doukhobors in migrating to Canada .","aid","[u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'tending', u'attention', u'help', u'assistance', u'assist', u'economic_aid', u'care', u'financial_aid']","['N']","[u'help to ', u""lend one's aid"", u'humor ', u'help ', u'befriend ', u'aidance', u'subvention ', u'assist', u'help', u'succor', u'second ', u'promote ', u'nurture ']","['N']"
"""As a result of this acquisition and the legal dispute with Hearst Corporation , Mandrakesoft announced that the new company name would be Mandriva , and that Mandriva Linux would be the new name covering products .""","dispute","[u'argument', u'fight', u'problem', u'disagreement', u'disagreement', u'argument', u'argument', u'argument', u'argument', u'disagreement', u'fight', u'trouble', u'argument', u'disagreement', u'fight', u'argument', u'disagreement', u'fight', u'argument', u'fight', u'disagreement', u'argument', u'confrontation', u'issue', u'disagreement', u'fight', u'argument', u'fight', u'disagreement', u'gain', u'argument', u'argument', u'fight', u'disagreement', u'differences', u'argument', u'battle', u'fight', u'argument', u'argument', u'debate', u'debate', u'conflict', u'argument', u'complaint', u'conflict', u'fight', u'battle', u'fight', u'argument', u'argument', u'']","[u'argufy', u'difference_of_opinion', u'challenge', u'contravention', u'altercate', u'quarrel', u'scrap', u'difference', u'gainsay', u'conflict']","['Y']","[u'tiff', u'bandy words', u'wrangle', u'debate', u'barney', u'towrow', u'question', u'altercation', u'fall out', u'spat', u'squabble', u'argufy', u'reason', u'snarl', u'tracasserie', u'words', u'discuss', u'challenge', u'bandy arguments', u'high words', u'argue', u'demel_e', u'quarrel']","['Y']"
"""The CIBF was founded by the General Egyptian Book Organisation , a government publishers and retailers group , in 1969 to coincide with celebrations of the 1000th anniversary of the founding of the city of Cairo .""","found","[u'opening', u'starting', u'original', u'begining', u'starting', u'discovery', u'making', u'birth', u'start', u'beginning', u'start', u'starting', u'start', u'creation', u'start', u'discovery', u'established', u'making', u'establishing', u'creation', u'birth', u'creation', u'creation', u'beginning', u'creation', u'creation', u'beginning', u'starting', u'beginning', u'start', u'origin', u'start', u'beginning  ', u'establishment', u'creating', u'setting up', u'start', u'beginning', u'establishing', u'establishment', u'settlement', u'starting', u'starting', u'beginning', u'start', u'creation', u'beginning', u'setting up', u'start', u'creation', u'', u'']","[u'find_oneself', u'retrieve', u'bump', u'discover', u'set_up', u'constitute', u'see', u'determine', u'line_up', u'happen', u'recover', u'establish', u'find', u'witness', u'ground', u'detect', u'notice', u'feel', u'regain', u'plant', u'get_hold', u'get', u'obtain', u'chance', u'observe', u'incur', u'find_out', u'encounter', u'launch', u'institute', u'come_up', u'rule', u'receive', u'base', u'ascertain']","['N']","[u'bottom', u'institute', u'imbed', u'broach', u'lay the foundation of', u'base', u'embed', u'ground']","['N']"
"""The city was first founded by the British in 1827 , who leased the island from Spain during the colonial period .""","lease","[u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'loaned', u'rented', u'rented', u'borrowed', u'rented', u'loaned', u'borrowed', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'secured', u'gave', u'borrowed', u'rented', u'rented', u'loaned', u'rented', u'let', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'rented', u'loaned', u'borrowed', u'rented', u'']","[u'letting', u'term_of_a_contract', u'hire', u'engage', u'charter', u'let', u'rent', u'take', u'rental']","['Y']","[u'limitation', u'strict settlement', u'particular estate', u'term', u'sett', u'let', u'demise', u'settlement', u'underlet']","['Y']"
"""If the object has exactly the same density as the fluid , then its buoyancy equals its weight .""","fluid","[u'water', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'easy', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liqiud', u'liquid', u'liquid', u'liquid', u'liquid', u'water', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'water', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'water', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'liquid', u'', u'']","[u'liquid', u'mobile', u'smooth', u'runny', u'fluent', u'unstable']","['Y']","[u'succulent', u'liquid', u'inelastic fluid', u'juicy', u'serous', u'sappy']","['Y']"
"""In Switzerland , the constitutional ban on absinthe was repealed in 2000 during an overhaul of the national constitution , although the prohibition was written into ordinary law instead .""","prohibition","[u'restriction', u'constraint', u'prevention', u'ban', u'ban', u'refusal', u'ban', u'ban', u'ban', u'limit', u'ban', u'laws against drinking', u'ban', u'ban', u'rule', u'ban', u'refusal', u'ban', u'ban', u'ban', u'ban', u'ban', u'ban', u'forbidding law', u'ban', u'banning', u'law against it', u'ban', u'ban', u'ban', u'prevention', u'ban', u'ban', u'ban', u'ban', u'ban', u'ban', u'ban', u'act', u'restriction', u'restriction', u'ban', u'ban', u'ban', u'restriction', u'allowance', u'banning', u'ban', u'refusal', u'law', u'', u'']","[u'proscription', u'forbiddance', u'prohibition_era', u'inhibition', u'ban']","['Y']","[u'', u'forbid it Heaven!', u'hands off!', u'preclusion', u'Heaven forbid!', u'noninclusion', u'inhibition', u'Encratism', u'God forbid!', u'far be it from!', u'cry you mercy!', u'thief ', u'Heaven forefend']","['Y']"
"""Due to their fast growth , the foremost benefit of these trees is their wood .""","*foremost","[u'greatest', u'greatest', u'main', u'biggest', u'main', u'first', u'main', u'greatest', u'biggest', u'greatest', u'first', u'major', u'first', u'best', u'main', u'highest', u'biggest ', u'main', u'biggest', u'most important', u'first', u'best', u'first', u'leading', u'best', u'main', u'best', u'main', u'most important', u'most important', u'biggest', u'biggest', u'primary', u'largest', u'first', u'best', u'greatest', u'biggest', u'biggest', u'primary', u'primary', u'important', u'major', u'main', u'primary', u'leading', u'biggest', u'most important', u'greatest', u'main', u'', u'']","[u'first_of_all', u'frontmost', u'world-class', u'firstly', u'first_off', u'first']","['Y']","[u'supreme', u'preeminent', u'crowning', u'radical', u'all-absorbing', u'primary', u'principal', u'leading', u'forehead', u'vital', u'cardinal', u'capital', u'main', u'overruling', u'paramount', u'prime', u'utmost', u'chief', u'headmost', u'greatest', u'essential', u'first']","['Y']"
"Men are supposed to come to the mosque wearing loose and clean clothes that do not reveal the shape of the body .","reveal","[u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'show', u'', u'']","[u'disclose', u'unwrap', u'bring_out', u'divulge', u'expose', u'let_on', u'discover', u'unveil', u'break', u'let_out', u'give_away', u'uncover']","['N']","[u'break', u'divulge']","['N']"
"""Intense feelings of resentment trigger the initial retaliation , which causes the other party to feel equally aggrieved and vengeful .""","retaliation","[u'fight', u'reprisal', u'fight back', u'reaction', u'revenge', u'revengeance', u'revenge', u'retribution', u'revenge', u'revenge', u'reaction', u'response', u'revenge', u'revenge', u'payback', u'vengence', u'revenge', u'revenge', u'response', u'attack', u'revenge', u'revenge', u'revenge', u'revenge', u'fight', u'repayment', u'counterattack', u'counterattack ', u'response', u'revenge', u'revenge', u'vengeance', u'payback', u'payback', u'attack', u'revenge', u'fight back', u'return', u'return', u'revenge', u'revenge', u'attack', u'fight back', u'anger', u'punishment', u'vengeance', u'attack', u'reaction', u'vengance', u'revenge', u'', u'']","[u'revenge']","['Y']","[u'""-""', u'', u';\nsecurity card', u';\npolestar', u';\nreveille', u';\ncoat of arms', u'record ', u'prototype', u';\ntitle', u'colors', u';\nampersand', u';\ntricolor', u';\nsign', u'quarantine flag', u';\ntilde', u';\nlighthouse', u'pointer', u';\nopen sesame', u'staff', u'weathercock', u';\ncarte de visite', u'call', u'""%""', u';\ntrade mark', u'invisibility', u';\nmot de passe', u';\nattestation', u'crest', u';\ncipher', u'""*""', u'old glory', u'streamer', u';\nwarning ', u'hand and seal', u';\nbadge', u'sanctus bell', u'seamark', u'""@""', u'jack', u'balize', u'payback', u';\nangelus', u'ticket', u'flagstaff', u'oriflamme', u'union jack', u';\ndib', u'refreshment equalization', u'cry', u'countersign', u';\nflag', u'""=""', u'fingerpost', u';\nbrand', u';\ncredentials ', u'heading', u';\npassword', u'stars and stripes', u';\ngarland', u';\nbugle call', u'""+""', u'cairn', u';\npattern ', u';\nperiod', u';\nbandrol', u'countermark', u'voucher', u'pass', u'sufficiency', u';\nforward slash', u'mot du guet', u"";\nl'etoile du Nord"", u';\npass-parole', u';\ntest ', u'""\\\\""', u';\nlivery', u'telltale', u';\nscepter ', u';\ncockade', u""fool's cap"", u'""#""', u'uniform', u'favor', u'experiment', u';\nshield', u'"":""', u'gonfalon', u';\nbell', u'beacon-fire', u'eagle', u'left arrow', u';\nlabel', u';\nexposition &c (explanation) ', u'proof ', u';\nadvertisement ', u';\naddress', u'sigil', u'standard', u';\nguidepost', u';\nplus sign', u';\nbunting', u'ancient', u';\nquestion mark', u';\nwitness', u'post', u';\nduplicate', u'card', u'publication', u'difficulty', u'""~""', u'scepter ', u'lodestar', u'guide', u'chop', u';\nbanderole', u'measure for measure', u'cock', u'directing post', u';\ncacher', u';\nsingle quote', u'pendant', u'""--""', u';\nbeacon', u'signboard', u'reprisal', u';\nword of command', u';\npercent sign', u';\ndash', u'chevron', u';\ntrace', u'mark', u';\ngauge ', u';\nheraldry', u'""', u';\ncountercheck', u';\ncolon', u';\nyellow-flag', u'direction', u'arms', u';\nstamp', u';\nindorsement', u';\nseal', u'""!""', u';\npillars of Hercules', u'autography', u'handpost', u'watchword', u';\nmilliary', u';\ncomma', u'alarm ', u';\ncarat', u';\nescutcheon', u';\nexclamation point', u'supporters', u'name', u';\ncommercial at', u'signpost', u'billet', u'tally', u'blue Peter', u';\nhand', u';\nbackward slash', u'vane', u';\nvexillum', u'visiting card', u';\ninsignia', u';\nensign', u'trumpet call', u'""&""', u'yellow jack', u'scutcheon', u';\nbanner', u'bill', u'counterfoil', u';\nshibboleth', u'sign manual', u';\nfigurehead', u'signet', u';\nparaph', u';\nmileage ticket', u';\ntrophy ', u';\nsacring bell', u';\nbale-fire', u'bannerol', u';\nmilestone', u';\ntimbrology', u'chip', u'epaulet', u'assent', u'oriflamb', u';\nequals sign', u'evidence', u';\n""', u'loadstar', u'Hall mark', u'hand writing', u';\nsignature', u'tit for tat ', u'check', u';\nsuperscription', u'information', u'""\'""', u';\npennon', u';\nwarning &c ', u';\narmorial bearings', u'"">""', u'passkey', u'brand', u';\nomen ', u'milepost', u';\nburgee', u'criterion', u';\ncheck', u'endorsement', u';\n\n', u'""/""', u';\ncynosure', u'""_""', u'tu quoque ', u'labarum', u';\ntessera', u'""""', u';\nlandmark', u'pharos', u'hatchment', u';\nright arrow', u';\npound sign', u'hand', u';\nbattle cry', u';\nem dash', u'letter', u';\napostrophe', u'autograph', u';\nnotification ', u';\ntotem', u'love knot', u'incredulity', u';\nhyphen', u'alarum', u'""?""', u'counter', u'retort', u'insufficiency', u';\nprefigurement ', u'banneret', u'catchword', u'rallying cry', u';\naddress card', u';\nasterisk', u'pennant', u'docket', u';\nsemicolon']","['Y']"
"The cheetah hunts by vision rather than by scent .","vision","[u'sight', u'sight', u'sight', u'sight', u'seeing', u'sight', u'sight', u'sight', u'sight', u'what he sees', u'sight', u'sight', u'sight', u'sight', u'sight', u'sight', u'sight', u'sight', u'eye', u'sight', u'sight', u'sight', u'sight', u'sight', u'sight', u'their eyes', u'sight', u'eyesight ', u'sight', u'seeing', u'sight', u'sight', u'eyesight ', u'sight', u'sight', u'sight', u'sight', u'eyesight ', u'sight', u'seeing', u'sight', u'sight', u'sight', u'sight', u'sight', u'eyesight', u'sight', u'sight', u'sight', u'sight', u'', u'']","[u'visual_modality', u'visual_sensation', u'imagination', u'visual_sense', u'sight', u'imaginativeness']","['Y']","[u'eyesight', u'maggot', u'chimera', u'sight', u'specter', u'throw away an opportunity', u'myth', u'neglect an opportunity ', u'neglectful ', u'field of view ', u'set aside', u'ignore ', u'neglect ', u'apparition', u'optics', u'waste an opportunity', u'figment', u'lose an opportunity', u'shadow', u'spirit', u'ghost', u'conceit', u'revenant', u'shade', u'dream']","['Y']"
"""So impressed was Rostropovich with his young pupil that at the end of her study with him , he declared her `` the only cellist of the younger generation that could equal and overtake own achievement . ''""","declare","[u'said', u'called', u'confirmed', u'announced', u'called', u'proclaimed', u'announced', u'called', u'called', u'called', u'claimed', u'told', u'said to', u'said to', u'called', u'called', u'said', u'announced', u'called', u'named', u'called', u'anounced', u'appointed', u'proclaimed', u'named', u'called', u'called', u'said of', u'told', u'recognized', u'announced', u'deemed', u'labeled', u'called', u'called', u'named', u'called', u'called', u'announced', u'called ', u'made', u'called', u'called', u'told', u'called', u'announced', u'said of', u'called', u'proclaimed', u'elected', u'', u'']","[u'announce', u'hold', u'adjudge']","['N']","[u'say', u'state', u'predicate', u'affirm']","['N']"
"""It was used to signify those who appreciated Austen in the `` wrong '' way and the term , according to Lynch , is `` now used almost exclusively about and against other people '' .""","*signify","[u'show', u'mark', u'mean', u'mean', u'represent', u'show', u'show', u'identify', u'mean', u'mean', u'stand for', u'mean', u'mean', u'mean', u'show', u'show', u'mean', u'mean', u'show', u'mean', u'show', u'label', u'indicate', u'represent', u'show', u'show', u'stand for', u'show', u'show', u'describe', u'show', u'show', u'point', u'indicate', u'have meaning for', u'identify', u'imply ', u'describe', u'show', u'show', u'indicate', u'show', u'indicate', u'show', u'show', u'point out', u'show', u'mean', u'show', u'identify', u'', u'']","[u'intend', u'stand_for', u'mean']","['Y']","[u'be an object', u'shadow forth', u'ominate', u'pretypify', u'express', u'boot', u'typify', u'matter', u'notify', u'convey the knowledge of', u'import', u'point to', u'specify', u'mean']","['Y']"
"""A tuning fork or electronic tuning device may be used as a reference pitch , though in ensemble rehearsals often a piano is used .""","reference","[u'comparitive', u'resource', u'source', u'base', u'source', u'ideal', u'example', u'example', u'beginning', u'standard', u'standard', u'associating', u'starting', u'comparison', u'sample', u'basic', u'guide', u'guide', u'source', u'source', u'source', u'basic', u'standard', u'beginning', u'baseline', u'referral', u'helping', u'sample', u'guide', u'hint', u'base', u'guidance', u'sample', u'comparison', u'source', u'related', u'go to', u'source', u'relative', u'noted', u'source', u'perfect', u'guiding', u'note', u'source', u'pointing out', u'starting', u'indicating', u'suggested', u'starting', u'', u'']","[u'reference_point', u'book_of_facts', u'acknowledgment', u'mention', u'source', u'character_reference', u'point_of_reference', u'citation', u'character', u'credit', u'reference_book', u'consultation', u'extension', u'computer_address', u'address', u'reference_work', u'denotation', u'cite', u'quotation']","['Y']","[u'bearing', u'referment', u'cognation', u'pattern', u'precedent', u'citation', u'ideal', u'original', u'note', u'connection', u'relation', u'type', u'model', u'prototype', u'scantling', u'annotation', u'standard', u'concern']","['Y']"
"""Dodd simply retained his athletic director position , which he had acquired in 1950 .""","acquire","[u'received', u'gotten', u'got', u'gotten', u'achieved', u'gained', u'gained', u'got', u'gained', u'gotten', u'gotten', u'taken', u'gained', u'got', u'received', u'amassed', u'gained', u'received', u'got', u'received', u'obtained', u'obtained', u'gained', u'got', u'gotten', u'gained', u'obtained', u'received', u'gained', u'gotten', u'obtained', u'gotten', u'gotten', u'achieved', u'started', u'gotten', u'gotten', u'received', u'inherited', u'got', u'achieved', u'gotten', u'gotten', u'received', u'obtained', u'gained', u'gained', u'taken', u'gained', u'got', u'gotten', u'']","[u'evolve', u'adopt', u'develop', u'get', u'assume', u'win', u'larn', u'take_on', u'produce', u'take', u'learn', u'grow', u'gain']","['N']","[u'make profit ', u'earn', u'gather', u'make money ', u'get', u'win', u'procure', u'come into possession ', u'obtain', u""get into one's hand "", u'gain']","['N']"
"They have also been observed in captivity catching Spiny dogfish of up to 3-4 feet in length .","observe","[u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'watched', u'seen', u'seen', u'saw', u'seen', u'studied', u'seen', u'witnessed', u'seen', u'seen', u'seen', u'seen', u'watched', u'watched', u'seen', u'seen', u'seen', u'seen', u'watched', u'seen', u'seen', u'seen', u'seen', u'seen', u'discovered', u'seen', u'seen', u'watched', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'seen', u'', u'']","[u'watch_over', u'notice', u'detect', u'remark', u'watch', u'discover', u'keep_an_eye_on', u'honor', u'note', u'mention', u'follow', u'celebrate', u'respect', u'take_note', u'honour', u'keep', u'maintain', u'find', u'abide_by']","['N']","[u'remark', u'regard', u'look', u'attend', u'acknowledge', u'notice', u'comply with', u'see', u'mark', u'advert to', u'abide by', u'respect', u'take notice', u'view']","['N']"
"""Miramax Films was last operated by Daniel Battsek who reported to Rich Ross , chairman of Walt Disney Studios Motion Pictures .""","*operate","[u'run', u'run', u'run', u'worked', u'run', u'directed', u'run', u'run', u'run', u'run', u'run', u'run', u'run', u'ran', u'ran', u'ran', u'run', u'run', u'run', u'run', u'used', u'run', u'run', u'employed', u'handled', u'worked', u'managed', u'ran', u'run', u'worked', u'ran', u'controlled', u'run', u'ran', u'run', u'used', u'run', u'run', u'run', u'run', u'used', u'performed', u'run', u'managed', u'run', u'run', u'managed', u'managed', u'controlled', u'ran', u'', u'']","[u'function', u'control', u'engage', u'run', u'maneuver', u'lock', u'work', u'mesh', u'manoeuvre', u'operate_on', u'go', u'manoeuver']","['Y']","[u'excise', u'frame', u'contrive', u'superinduce', u'open the door to', u'entail', u'perform', u'make', u'construct', u'manufacture', u'do', u'form', u'procure', u'induce', u'gar', u'produce', u'cut out', u'fabricate', u'work', u'draw down', u'evoke', u'act']","['N']"
"""The family - mother , father , old woman , young man , baby , and dog - are attempting to eat pieces of metal , such as chains , bicycle handlebars , and rifles .""","attempt","[u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'trying', u'', u'']","[u'essay', u'seek', u'set_about', u'try', u'attack', u'undertake', u'assay', u'endeavour', u'endeavor', u'effort']","['N']","[u'essay', u'essay ', u'tempt', u'trial', u'make an attempt', u'endeavor']","['N']"
"Spain and Luxembourg currently have Bourbon monarchs .","currently","[u'presently', u'as of now', u'presently', u'now', u'now', u'recently', u'now', u'now', u'now', u'these days', u'now', u'most currently', u'right now', u'presently', u'now', u'now', u'now', u'recently ', u'right now', u'right now', u'now', u'now', u'now', u'right now', u'presently', u'now', u'now', u'at this time', u'now', u'presently', u'right now', u'now', u'now', u'presently', u'presently', u'right now', u'at this time', u'now', u'at this time', u'now', u'now', u'today', u'presently', u'now', u'now', u'now', u'presently', u'already', u'presently', u'now', u'', u'']","[u'presently']","['Y']","[]","['N']"
"""Anti-tank dogs were dogs taught to carry explosives to tanks , armored vehicles and other military targets .""","target","[u'weapons', u'bullseyes', u'objects', u'hits', u'kills', u'bulls eye.', u'points', u""bull's-eyes"", u'marks', u'places', u'enemies', u'marks', u'goals', u'places', u'vehicles', u'spots', u'marks', u'points', u'enemies', u'marks', u'objects', u'destinations', u'objective', u'aims', u'spots', u'goals', u'vehicles', u'objects', u'equipment', u'enemies', u'marks', u'objects', u'objectives', u'goals', u'objects', u'objects', u'destinations', u'marks', u'marks', u'marks', u'enemies', u'points', u'marks', u'objectives', u'goals', u'aims', u'marks', u'goals', u'objects', u'objectives', u'', u'']","[u'quarry', u'point', u'fair_game', u'object', u'direct', u'mark', u'aim', u'prey', u'target_area', u'butt', u'objective', u'place']","['Y']","[u""bull's-eye"", u'point', u'destination', u'mark', u'quintain', u'butt', u'goal']","['N']"
"""Spun yarns may contain a single type of fiber , or be a blend of various types . Combining synthetic fibers with natural fibers is very common .""","various","[u'many', u'many', u'different', u'different', u'different', u'several', u'different', u'different', u'many', u'different', u'different', u'many', u'different', u'many', u'many', u'several', u'different', u'different', u'other', u'many', u'different', u'different', u'different', u'many', u'myriad', u'several', u'several', u'many', u'different', u'different', u'different', u'different', u'different', u'many', u'many', u'different', u'many', u'different', u'different', u'many', u'different', u'many', u'several', u'different', u'different', u'different', u'lots of', u'different', u'different', u'different', u'', u'']","[u'respective', u'assorted', u'diverse', u'several', u'versatile']","['Y']","[u'diversified', u'varied', u'not a few', u'many', u'sundry', u'all kinds of', u'variform', u'all manner of', u'heterogeneous', u'several', u'divers', u'dissimilar']","['Y']"
"The decimal separator or decimal point or decimal comma is a symbol used to mark the boundary between the integral and the fractional parts of a decimal number in a positional numeral system .","boundary","[u'separation', u'border', u'place', u'divide', u'line', u'border', u'line', u'border', u'border', u'line', u'line', u'wall', u'line', u'line', u'line', u'line', u'line', u'separation', u'space', u'line', u'border', u'difference', u'line', u'territory', u'limit', u'line', u'difference', u'edge', u'line', u'separate point', u'border', u'line', u'line', u'border', u'line', u'limits', u'seperation', u'separation', u'line', u'difference', u'point', u'place', u'border', u'line', u'separation', u'line', u'border', u'border', u'border', u'divide', u'', u'']","[u'edge', u'limit', u'bound', u'bounds']","['Y']","[u'term', u'bourn', u'enclave', u'bounds', u'but', u'limit', u'verge', u'reservation', u'confine', u'pale', u'curbstone']","['Y']"
"""Whatever the truth of the rumors , James required a royal match to preserve the Stuart line .""","*preserve","[u'protect', u'save', u'save', u'keep', u'keep', u'continue', u'remain', u'continue', u'keep', u'keep', u'keep', u'keep', u'save', u'keep', u'save', u'keep', u'keep', u'protect', u'maintain', u'keep', u'keep', u'save', u'save', u'save', u'keep', u'keep', u'maintain', u'keep', u'keep', u'protect', u'maintain', u'keep', u'maintain', u'save', u'protect', u'keep', u'keep', u'maintain', u'keep up', u'continue', u'keep', u'save', u'maintain ', u'hold', u'keep', u'protect', u'keep', u'save', u'keep', u'keep', u'', u'']","[u'preserves', u'carry_on', u'conserves', u'uphold', u'bear_on', u'maintain', u'continue', u'keep_up', u'save', u'conserve', u'keep']","['Y']","[u'jam', u'grocery', u'confiture', u'uphold', u'julep', u'enclave', u'create', u'move', u'keep', u'sweets', u'maintain', u'govern ', u'conserve', u'sustain', u'hold', u'support', u'reserve']","['Y']"
"""The term is also at times used as a derogatory term for films or sequels of films that are of inferior quality , or are not expected to find financial success .""","derogatory","[u'bad', u'demeaning', u'bad', u'insulting', u'bad', u'bad', u'negative', u'pejorative', u'bad', u'rude', u'negative', u'negative', u'rude', u'negative', u'negative', u'bad', u'negative', u'negative', u'negative', u'bad', u'mean', u'negative', u'mean', u'different', u'offensive', u'bad', u'foul', u'offensive', u'offensive', u'bad', u'negative', u'negative', u'bad', u'bad', u'negative', u'bad', u'negative', u'bad', u'bad', u'negative', u'negative', u'degrading', u'mean', u'bad', u'bad', u'bad', u'negative', u'negative', u'negative', u'negative', u'', u'']","[u'disparaging', u'derogative']","['N']","[u'detractory', u'degrading', u'defamatory', u'deprecatory']","['Y']"
"""It initially was completely dark , but as Voyager 2 approached the planet , a bright core developed and can be seen in most of the highest-resolution images .""","initially","[u'originally', u'originally ', u'at first', u'first', u'originally', u'first', u'at first', u'at first', u'first', u'originally', u'first', u'first', u'first', u'first', u'at first', u'first', u'originally', u'originally', u'originally ', u'at first', u'first', u'at first', u'at first', u'first', u'first', u'originally', u'at first', u'at first', u'at first', u'was first', u'firstly', u'first', u'originally ', u'first', u'at first', u'at first', u'first', u'at first', u'first', u'first', u'originally', u'at first', u'originally ', u'at first', u'first', u'first', u'first', u'first', u'first', u'first', u'', u'']","[u'ab_initio']","['N']","[]","['N']"
"""In general relativity , the effects of gravitation are ascribed to spacetime curvature instead of a force .""","ascribe","[u'tied', u'specific', u'assigned', u'attributed', u'jealous', u'credited', u'given', u'credited', u'attributed', u'refered', u'asigned', u'attributed', u'explained', u'credited', u'attributed', u'referred', u'due ', u'acredited', u'referred', u'given', u'credited', u'attributed', u'given', u'attributed', u'credited', u'associated', u'credited', u'connected', u'credited', u'tied', u'attributed', u'given credit', u'applied', u'recognized', u'credited', u'accredited ', u'attributed', u'assigned', u'assigned', u'credited', u'credited', u'attributed', u'credited', u'referred', u'referred', u'attributed', u'referred', u'attributed', u'because of', u'credited', u'', u'']","[u'impute', u'assign', u'attribute']","['N']","[]","['N']"
"A committee of the institute appoints the laureates for the Nobel Prize in Physiology or Medicine .","laureates","[u'poets', u'winners', u'honorees', u'winners', u'the people who pin on the medal', u'winners', u'winners', u'site', u'notables', u'candidates', u'winners', u'winners', u'honors', u'winners', u'nominees', u'winners', u'prizewinners', u'candidates', u'nominees', u'honorees', u'person choosen', u'candidates', u'honors', u'honors', u'winners', u'nominees', u'winners', u'scholar', u'ornament', u'nominees', u'honor', u'candidates', u'winners', u'recievers', u'honorees', u'contestants', u'winners', u'winners', u'honorees  ', u'medalists', u'honorees', u'honored', u'honored', u'honorees', u'winneres', u'winners', u'honorees ', u'winners', u'winners', u'recipient', u'', u'']","[u'laureate']","['N']","[]","['N']"
"The geological community generally accepts this hypothesis because it best explains sedimentary deposits generally regarded as of glacial origin at tropical paleolatitudes and other enigmatic features in the geological record .","*hypothesis","[u'idea', u'theory', u'guess', u'theory', u'guess', u'theory', u'theory', u'idea', u'theory', u'theory', u'guess', u'theory', u'reasoning', u'theory', u'theory', u'theory', u'idea', u'idea', u'idea', u'idea', u'theory', u'theory', u'theory', u'idea', u'idea', u'theory', u'guess', u'idea', u'idea', u'idea', u'reasoning', u'idea', u'idea', u'theory', u'idea', u'theory', u'guess', u'guess', u'belief', u'theory', u'proposition', u'prediction', u'theory', u'theory', u'guess', u'theorem', u'theory', u'guess ', u'idea', u'idea', u'', u'']","[u'conjecture', u'theory', u'guess', u'possibility', u'surmisal', u'supposition', u'speculation', u'surmise']","['Y']","[u'blue sky hypothesis', u'theory', u'postulatum', u'presupposition', u'postulation', u'assumed position', u'supposition', u'assumption', u'postulate', u'condition']","['Y']"
"""In the third book , Harry Potter and the Prisoner of Azkaban , Rowling uses a time travel premise .""","premise","[u'idea', u'background', u'infered', u'idea', u'storyline', u'basis', u'plot', u'storyline', u'idea', u'theory', u'theme', u'idea', u'device', u'theme', u'motif', u'argument', u'story', u'basis for the story', u'idea', u'theme', u'plot', u'building', u'basis', u'theme', u'basis', u'basis', u'story', u'story', u'setting', u'theme', u'idea', u'plot', u'theme', u'theme', u'idea', u'idea', u'idea', u'plan', u'idea', u'idea', u'stance', u'storyline', u'idea', u'basis', u'basis', u'concept', u'theory', u'theme', u'idea', u'plot', u'', u'']","[u'premiss', u'introduce', u'assumption', u'preface', u'precede']","['N']","[u'usher in', u'herald', u'preface', u'announce', u'prelude']","['N']"
